peripheral,register,field_name,key,just_svd,just_output,both
tim16,bdtr,bke,enum_names,0,2,0
tim16,bdtr,ossr,enum_names,0,2,0
tim16,bdtr,bkp,enum_names,0,2,0
tim16,bdtr,ossi,enum_names,0,2,0
tim16,cr1,cen,enum_names,0,2,0
tim16,cr1,urs,enum_names,0,2,0
tim16,cr1,arpe,enum_names,0,2,0
tim16,cr1,ckd,enum_names,0,4,0
tim16,cr1,udis,enum_names,0,2,0
tim16,cr1,opm,enum_names,0,2,0
tim16,ccer,cc1p,enum_names,0,2,0
tim16,ccer,cc1e,enum_names,0,2,0
tim16,cr2,ccds,enum_names,0,2,0
tim16,dier,bie,enum_names,0,2,0
tim16,dier,tde,enum_names,0,2,0
tim16,dier,cc1ie,enum_names,0,2,0
tim16,dier,tie,enum_names,0,2,0
tim16,dier,cc1de,enum_names,0,2,0
tim16,dier,uie,enum_names,0,2,0
tim16,dier,ude,enum_names,0,2,0
tim16,dcr,dba,enum_names,0,3,0
tim16,dcr,dbl,enum_names,0,4,0
crc,cr,reset,enum_names,0,2,0
rcc,apb1enr,dacen,enum_names,0,2,0
rcc,apb1enr,bkpen,enum_names,0,2,0
rcc,apb1enr,tim7en,enum_names,0,2,0
rcc,apb1enr,spi3en,enum_names,0,2,0
rcc,apb1enr,usart2en,enum_names,0,2,0
rcc,apb1enr,usart3en,enum_names,0,2,0
rcc,apb1enr,tim3en,enum_names,0,2,0
rcc,apb1enr,cecen,enum_names,0,2,0
rcc,apb1enr,tim12en,enum_names,0,2,0
rcc,apb1enr,wwdgen,enum_names,0,2,0
rcc,apb1enr,i2c2en,enum_names,0,2,0
rcc,apb1enr,tim4en,enum_names,0,2,0
rcc,apb1enr,tim13en,enum_names,0,2,0
rcc,apb1enr,i2c1en,enum_names,0,2,0
rcc,apb1enr,uart4en,enum_names,0,2,0
rcc,apb1enr,tim14en,enum_names,0,2,0
rcc,apb1enr,tim2en,enum_names,0,2,0
rcc,apb1enr,spi2en,enum_names,0,2,0
rcc,apb1enr,uart5en,enum_names,0,2,0
rcc,apb1enr,tim5en,enum_names,0,2,0
rcc,apb1enr,pwren,enum_names,0,2,0
rcc,apb1enr,tim6en,enum_names,0,2,0
rcc,cir,lserdyc,enum_names,0,2,0
rcc,cir,lsirdyc,enum_names,0,2,0
