peripheral,register,field_name,key,just_svd,just_output,both,SourceFile
rcc,apb2rstr,iopbrst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,cr1,ckd,enum_names,0,3,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,dier,tde,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim15,ccer,cc1np,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim2,egr,cc2g,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
fsmc,btr2,accmod,bit_offset,28,27,evaluation/results/rm0041/11/original/field_diff.csv
tim1,cr1,urs,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
dac,sr,dmaudr2,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim15,sr,bif,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,cr,hsion,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2rstr,iopdrst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim2,ccer,cc3e,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2enr,iopfen,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,cir,hsirdyc,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
afio,exticr1,exti0,enum_names,0,7,0,evaluation/results/rm0041/11/original/field_diff.csv
tim16,bdtr,bkp,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim16,dier,cc1de,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,cir,pllrdyf,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim16,sr,cc1of,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
fsmc,btr2,clkdiv,bit_offset,20,19,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1rstr,i2c2rst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1enr,uart5en,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
pwr,cr,cwuf,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,ahbenr,flitfen,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,cr1,arpe,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
fsmc,btr3,datlat,bit_offset,24,23,evaluation/results/rm0041/11/original/field_diff.csv
tim1,dier,uie,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2enr,tim17en,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim15,dier,bie,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
bkp,rtccr,cal,bit_offset,0,8,evaluation/results/rm0041/11/original/field_diff.csv
rcc,cir,hsirdyf,bit_offset,2,4,evaluation/results/rm0041/11/original/field_diff.csv
tim2,ccer,cc2p,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim16,dcr,dba,enum_names,0,3,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,sr,cc4if,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim2,egr,cc3g,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
cec,csr,tsom,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
pwr,cr,pls,enum_names,0,8,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1rstr,tim4rst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,cir,lserdyie,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim13,sr,cc1of,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2enr,spi1en,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
fsmc,bwtr1,datast,enum_names,0,4,0,evaluation/results/rm0041/11/original/field_diff.csv
afio,evcr,pin,enum_names,0,16,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,cir,hserdyf,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2enr,iopaen,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1rstr,usart3rst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
flash,cr,eopie,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim2,ccer,cc4p,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
pwr,cr,pdds,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim2,sr,cc2if,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim2,ccr4,ccr4,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim16,bdtr,ossr,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim2,ccer,cc3p,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1rstr,pwrrst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
afio,exticr1,exti2,enum_names,0,7,0,evaluation/results/rm0041/11/original/field_diff.csv
tim2,ccer,cc4e,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim2,smcr,etf,enum_names,0,4,0,evaluation/results/rm0041/11/original/field_diff.csv
afio,exticr2,exti7,enum_names,0,7,0,evaluation/results/rm0041/11/original/field_diff.csv
tim15,ccer,cc2e,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1rstr,bkprst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1enr,usart2en,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,cr,csson,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1rstr,usart2rst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1enr,tim6en,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2enr,iopben,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,cir,lsirdyie,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,cir,lserdyf,bit_offset,1,3,evaluation/results/rm0041/11/original/field_diff.csv
tim12,egr,tg,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim13,sr,uif,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
fsmc,bwtr3,datast,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,cr1,udis,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1rstr,dacrst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
crc,cr,reset,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2enr,iopgen,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim15,dier,ude,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,sr,cc2of,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim2,sr,cc1of,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2enr,tim1en,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim15,ccer,cc1p,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,cir,cssf,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
afio,exticr2,exti6,enum_names,0,7,0,evaluation/results/rm0041/11/original/field_diff.csv
fsmc,btr3,accmod,bit_offset,28,27,evaluation/results/rm0041/11/original/field_diff.csv
tim2,smcr,etf,bit_offset,8,12,evaluation/results/rm0041/11/original/field_diff.csv
tim15,sr,comif,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim15,sr,cc1if,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,sr,cc1of,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim15,sr,cc2if,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
flash,cr,optwre,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim16,dier,bie,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1rstr,tim6rst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
iwdg,sr,rvu,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2rstr,iopcrst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
pwr,cr,csbf,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
pwr,csr,pvdo,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,egr,cc2g,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim2,sr,uif,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim2,sr,cc1if,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,bdcr,bdrst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
cec,csr,teom,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,sr,cc1if,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim2,smcr,sms,enum_names,0,1,0,evaluation/results/rm0041/11/original/field_diff.csv
tim2,sr,cc3if,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim15,sr,cc2of,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,dier,cc4ie,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim6,cr2,mms,enum_names,0,8,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,csr,lsirdy,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,smcr,etps,enum_names,0,1,0,evaluation/results/rm0041/11/original/field_diff.csv
tim16,sr,cc1if,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb2rstr,tim1rst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,ahbenr,fsmcen,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim12,smcr,msm,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
flash,acr,hlfcya,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim12,smcr,ts,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1enr,spi3en,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim16,dier,tie,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,dier,cc2de,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim2,egr,ug,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,cr,hseon,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,sr,cc3of,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim15,egr,tg,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,apb1rstr,tim3rst,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim1,dier,cc4de,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
afio,exticr2,exti4,enum_names,0,7,0,evaluation/results/rm0041/11/original/field_diff.csv
rcc,bdcr,lsebyp,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
tim12,sr,cc1of,enum_names,0,2,0,evaluation/results/rm0041/11/original/field_diff.csv
